"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,CES0500000008,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"Average hourly earnings of production and nonsupervisory employees, total private, seasonally adjusted",,,,,,,,,,,
Super Sector:,Total private,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
NAICS Code:,-,,,,,,,,,,,
Data Type:,AVERAGE HOURLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,,,,,,,,,,,
Years:,1964 to 2019,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1964,2.50,2.50,2.51,2.52,2.52,2.53,2.54,2.55,2.56,2.55,2.56,2.58
1965,2.58,2.59,2.61,2.60,2.62,2.63,2.63,2.64,2.65,2.66,2.67,2.67
1966,2.68,2.69,2.70,2.71,2.72,2.73,2.74,2.75,2.76,2.77,2.78,2.78
1967,2.80,2.81,2.81,2.82,2.83,2.85,2.86,2.88,2.88,2.89,2.91,2.92
1968,2.94,2.95,2.97,2.99,3.00,3.01,3.03,3.04,3.07,3.08,3.10,3.11
1969,3.12,3.14,3.16,3.18,3.19,3.21,3.22,3.24,3.26,3.28,3.30,3.31
1970,3.31,3.33,3.36,3.36,3.37,3.40,3.41,3.44,3.45,3.45,3.47,3.50
1971,3.53,3.55,3.56,3.58,3.61,3.62,3.63,3.66,3.67,3.68,3.70,3.73
1972,3.80,3.82,3.84,3.86,3.88,3.88,3.90,3.92,3.94,3.97,3.99,4.00
1973,4.03,4.05,4.06,4.09,4.10,4.12,4.15,4.16,4.20,4.21,4.24,4.25
1974,4.27,4.29,4.32,4.33,4.40,4.44,4.45,4.49,4.53,4.56,4.57,4.60
1975,4.61,4.64,4.67,4.67,4.69,4.72,4.74,4.78,4.79,4.82,4.86,4.87
1976,4.90,4.93,4.95,4.98,5.01,5.03,5.06,5.11,5.14,5.16,5.21,5.23
1977,5.26,5.30,5.32,5.36,5.40,5.42,5.46,5.48,5.51,5.55,5.58,5.61
1978,5.66,5.69,5.73,5.79,5.82,5.86,5.90,5.92,5.97,6.02,6.05,6.10
1979,6.13,6.18,6.22,6.21,6.27,6.32,6.36,6.40,6.45,6.46,6.51,6.56
1980,6.57,6.63,6.69,6.72,6.76,6.82,6.86,6.91,6.95,7.02,7.09,7.13
1981,7.18,7.23,7.29,7.33,7.37,7.41,7.45,7.52,7.56,7.59,7.63,7.64
1982,7.72,7.72,7.75,7.77,7.84,7.85,7.90,7.94,7.94,7.96,7.98,8.01
1983,8.06,8.09,8.10,8.13,8.17,8.19,8.22,8.20,8.27,8.31,8.31,8.33
1984,8.38,8.38,8.41,8.45,8.45,8.48,8.51,8.51,8.55,8.55,8.57,8.61
1985,8.61,8.64,8.66,8.69,8.70,8.74,8.74,8.76,8.80,8.79,8.81,8.87
1986,8.85,8.88,8.89,8.88,8.90,8.92,8.91,8.94,8.94,8.96,9.01,9.01
1987,9.02,9.05,9.07,9.08,9.11,9.11,9.12,9.18,9.19,9.22,9.27,9.28
1988,9.29,9.29,9.31,9.36,9.41,9.41,9.45,9.46,9.51,9.56,9.58,9.60
1989,9.65,9.68,9.70,9.75,9.74,9.77,9.83,9.83,9.87,9.92,9.93,9.98
1990,10.02,10.07,10.11,10.12,10.16,10.20,10.22,10.24,10.28,10.30,10.32,10.34
1991,10.38,10.39,10.41,10.46,10.49,10.51,10.54,10.56,10.58,10.59,10.61,10.64
1992,10.65,10.67,10.69,10.72,10.74,10.77,10.79,10.82,10.83,10.85,10.87,10.89
1993,10.93,10.95,10.99,10.99,11.01,11.03,11.05,11.07,11.10,11.13,11.15,11.18
1994,11.20,11.25,11.25,11.27,11.29,11.31,11.35,11.36,11.39,11.43,11.45,11.48
1995,11.48,11.53,11.55,11.56,11.60,11.63,11.67,11.69,11.73,11.75,11.78,11.81
1996,11.86,11.87,11.89,11.96,11.98,12.03,12.06,12.09,12.13,12.16,12.20,12.24
1997,12.29,12.32,12.36,12.39,12.44,12.46,12.50,12.57,12.60,12.67,12.72,12.75
1998,12.79,12.83,12.87,12.92,12.97,12.99,13.01,13.07,13.11,13.15,13.18,13.22
1999,13.27,13.30,13.33,13.38,13.43,13.47,13.52,13.54,13.61,13.64,13.66,13.70
2000,13.75,13.80,13.85,13.90,13.94,13.99,14.03,14.07,14.12,14.17,14.24,14.29
2001,14.30,14.36,14.43,14.45,14.50,14.55,14.56,14.60,14.63,14.66,14.71,14.75
2002,14.77,14.78,14.83,14.84,14.88,14.94,14.98,15.02,15.06,15.12,15.15,15.20
2003,15.22,15.29,15.28,15.28,15.33,15.36,15.40,15.42,15.42,15.43,15.47,15.47
2004,15.51,15.54,15.56,15.59,15.64,15.67,15.70,15.73,15.78,15.81,15.84,15.86
2005,15.90,15.93,15.97,16.01,16.04,16.08,16.15,16.17,16.19,16.29,16.30,16.36
2006,16.42,16.48,16.54,16.64,16.65,16.72,16.78,16.83,16.87,16.94,16.98,17.04
2007,17.09,17.15,17.22,17.27,17.34,17.42,17.46,17.50,17.56,17.58,17.63,17.69
2008,17.74,17.80,17.88,17.92,17.98,18.04,18.10,18.18,18.20,18.25,18.32,18.38
2009,18.40,18.45,18.50,18.52,18.53,18.56,18.59,18.67,18.70,18.74,18.81,18.84
2010,18.89,18.92,18.92,18.96,19.01,19.03,19.04,19.11,19.11,19.20,19.21,19.22
2011,19.32,19.31,19.31,19.37,19.41,19.42,19.47,19.48,19.49,19.56,19.56,19.56
2012,19.58,19.59,19.65,19.69,19.68,19.72,19.75,19.74,19.79,19.79,19.84,19.89
2013,19.94,19.99,20.02,20.05,20.06,20.12,20.14,20.18,20.23,20.25,20.31,20.33
2014,20.40,20.50,20.48,20.51,20.55,20.57,20.61,20.67,20.68,20.71,20.76,20.72
2015,20.81,20.84,20.88,20.92,20.99,21.01,21.03,21.08,21.11,21.20,21.20,21.24
2016,21.31,21.36,21.40,21.46,21.48,21.53,21.58,21.61,21.63,21.71,21.73,21.77
2017,21.82,21.86,21.89,21.94,21.98,22.03,22.08,22.11,22.19,22.18,22.24,22.31
2018,22.36,22.40,22.49,22.55,22.62,22.67,22.71,22.80,22.86,22.90,22.99,23.09
2019,23.11,23.17,23.25,23.31,23.38,,,,,,,
