,V1
1,0.022198426
2,0.021360096
3,0.009531754
4,0.06190124
5,0.038752484
6,0.061535333
7,0.007711098
8,0.022423789
9,0.088360412
10,0.010956537
11,0.039470489
12,0.012564535
13,0.023047605
14,0.033130742
15,0.039470489
16,0.009113082
17,0.040406459
18,0.061129483
19,0.040406459
20,0.010956537
21,0.061535333
22,0.039470489
23,0.039166224
24,0.060568788
25,0.061535333
26,0.039470489
27,0.038752484
28,0.039868449
29,0.007445791
30,0.076459086
31,0.032593224
32,0.061322792
33,0.039868449
34,0.039470489
35,0.023047605
36,0.060705386
37,0.088709059
38,0.060568788
39,0.060705386
40,0.010464882
41,0.060185129
42,0.034722089
43,0.00868652
44,0.020684124
45,0.062237065
46,0.060705386
47,0.033619932
48,0.009113082
49,0.061129483
50,0.036121607
51,0.007676086
52,0.039868449
53,0.033619932
54,0.010956537
55,0.012564535
56,0.062237065
57,0.062848059
58,0.040406459
59,0.06117781
60,0.039868449
61,0.009841443
62,0.063208048
63,0.062237065
64,0.038752484
65,0.021592856
66,0.012310571
67,0.040406459
68,0.062237065
69,0.06117781
70,0.007393519
71,0.060705386
72,0.023047605
73,0.047921841
74,0.022423789
75,0.009113082
76,0.009679201
77,0.061298628
78,0.013303252
79,0.013303252
80,0.039470489
81,0.039868449
82,0.010464882
83,0.076459086
84,0.039166224
85,0.060705386
86,0.034057836
87,0.009113082
88,0.06117781
89,0.061298628
90,0.039649497
91,0.061129483
92,0.039470489
93,0.010956537
94,0.087962945
95,0.007445791
96,0.023047605
97,0.021592856
98,0.039470489
99,0.032593224
100,0.01357497
101,0.010956537
102,0.012310571
103,0.047921841
104,0.032593224
105,0.023047605
106,0.039470489
107,0.033619932
108,0.021592856
109,0.039649497
110,0.039868449
111,0.036121607
112,0.038752484
113,0.006657761
114,0.010956537
115,0.023047605
116,0.033619932
117,0.047921841
118,0.009531754
119,0.038752484
120,0.088709059
121,0.007711098
122,0.007676086
123,0.047921841
124,0.033619932
125,0.035455875
126,0.088360412
127,0.009626436
128,0.006657761
129,0.060705386
130,0.022423789
131,0.087606902
132,0.008871445
133,0.023047605
134,0.032593224
135,0.088360412
136,0.020684124
137,0.087962945
138,0.088360412
139,0.010956537
140,0.088360412
141,0.009679201
142,0.039470489
143,0.04747506
144,0.060705386
145,0.022423789
146,0.060705386
147,0.033619932
148,0.023047605
149,0.023047605
150,0.038752484
151,0.039154389
152,0.039166224
153,0.036121607
154,0.062848059
155,0.012310571
156,0.062848059
157,0.038752484
158,0.023047605
159,0.032593224
160,0.023047605
161,0.009679201
162,0.060705386
163,0.009626436
164,0.009626436
165,0.013355031
166,0.039868449
167,0.010892923
168,0.007711098
169,0.036121607
170,0.060705386
171,0.047030252
172,0.008522306
173,0.039868449
174,0.062303638
175,0.087606902
176,0.010956537
177,0.022423789
178,0.032593224
179,0.022423789
180,0.047921841
181,0.060705386
182,0.039470489
183,0.033619932
184,0.007711098
185,0.088360412
186,0.087962945
187,0.039470489
188,0.022423789
189,0.063208048
190,0.088360412
191,0.039868449
192,0.013355031
193,0.007078406
194,0.007445791
195,0.061535333
196,0.060705386
197,0.032593224
198,0.020684124
199,0.060705386
200,0.021592856
201,0.009113082
202,0.039868449
203,0.009113082
204,0.010550194
205,0.061298628
206,0.033619932
207,0.039470489
208,0.088360412
209,0.007676086
210,0.033619932
211,0.038752484
212,0.061535333
213,0.032593224
214,0.034057836
215,0.039649497
216,0.022423789
217,0.060705386
218,0.012310571
219,0.033619932
220,0.010464882
221,0.022109662
222,0.061298628
223,0.061129483
224,0.012730722
225,0.039470489
226,0.06117781
227,0.060705386
228,0.023047605
229,0.009531754
230,0.061129483
231,0.021592856
232,0.023047605
233,0.061535333
234,0.047030252
,0.037458265
