"","Democrat Share","Republican Share"
"1",0.34,0.66
"2",0.34,0.66
"3",0.32,0.68
"4",0.34,0.66
"5",0.28,0.72
"6",0.34,0.66
"7",0.32,0.68
"8",0.34,0.66
"9",0.26,0.74
"10",0.33,0.67
"11",0.33,0.67
"12",0.39,0.61
"13",0.34,0.66
"14",0.3,0.7
"15",0.33,0.67
"16",0.32,0.68
"17",0.33,0.67
"18",0.34,0.66
"19",0.33,0.67
"20",0.33,0.67
"21",0.34,0.66
"22",0.33,0.67
"23",0.28,0.72
"24",0.31,0.69
"25",0.34,0.66
"26",0.33,0.67
"27",0.28,0.72
"28",0.33,0.67
"29",0.32,0.68
"30",0.27,0.73
"31",0.3,0.7
"32",0.34,0.66
"33",0.33,0.67
"34",0.33,0.67
"35",0.34,0.66
"36",0.31,0.69
"37",0.26,0.74
"38",0.31,0.69
"39",0.31,0.69
"40",0.33,0.67
"41",0.31,0.69
"42",0.29,0.71
"43",0.32,0.68
"44",0.34,0.66
"45",0.34,0.66
"46",0.31,0.69
"47",0.3,0.7
"48",0.32,0.68
"49",0.34,0.66
"50",0.29,0.71
"51",0.32,0.68
"52",0.33,0.67
"53",0.3,0.7
"54",0.33,0.67
"55",0.39,0.61
"56",0.34,0.66
"57",0.33,0.67
"58",0.33,0.67
"59",0.31,0.69
"60",0.33,0.67
"61",0.32,0.68
"62",0.33,0.67
"63",0.34,0.66
"64",0.28,0.72
"65",0.34,0.66
"66",0.39,0.61
"67",0.33,0.67
"68",0.34,0.66
"69",0.31,0.69
"70",0.32,0.68
"71",0.31,0.69
"72",0.34,0.66
"73",0.29,0.71
"74",0.34,0.66
"75",0.32,0.68
"76",0.32,0.68
"77",0.31,0.69
"78",0.39,0.61
"79",0.39,0.61
"80",0.33,0.67
"81",0.33,0.67
"82",0.33,0.67
"83",0.27,0.73
"84",0.28,0.72
"85",0.31,0.69
"86",0.3,0.7
"87",0.32,0.68
"88",0.31,0.69
"89",0.31,0.69
"90",0.28,0.72
"91",0.34,0.66
"92",0.33,0.67
"93",0.33,0.67
"94",0.26,0.74
"95",0.32,0.68
"96",0.34,0.66
"97",0.34,0.66
"98",0.33,0.67
"99",0.3,0.7
"100",0.39,0.61
"101",0.33,0.67
"102",0.39,0.61
"103",0.29,0.71
"104",0.3,0.7
"105",0.34,0.66
"106",0.33,0.67
"107",0.3,0.7
"108",0.34,0.66
"109",0.28,0.72
"110",0.33,0.67
"111",0.29,0.71
"112",0.28,0.72
"113",0.32,0.68
"114",0.33,0.67
"115",0.34,0.66
"116",0.3,0.7
"117",0.29,0.71
"118",0.32,0.68
"119",0.28,0.72
"120",0.26,0.74
"121",0.32,0.68
"122",0.32,0.68
"123",0.29,0.71
"124",0.3,0.7
"125",0.29,0.71
"126",0.26,0.74
"127",0.32,0.68
"128",0.32,0.68
"129",0.31,0.69
"130",0.34,0.66
"131",0.26,0.74
"132",0.32,0.68
"133",0.34,0.66
"134",0.3,0.7
"135",0.26,0.74
"136",0.34,0.66
"137",0.26,0.74
"138",0.26,0.74
"139",0.33,0.67
"140",0.26,0.74
"141",0.32,0.68
"142",0.33,0.67
"143",0.29,0.71
"144",0.31,0.69
"145",0.34,0.66
"146",0.31,0.69
"147",0.3,0.7
"148",0.34,0.66
"149",0.34,0.66
"150",0.28,0.72
"151",0.33,0.67
"152",0.28,0.72
"153",0.29,0.71
"154",0.33,0.67
"155",0.39,0.61
"156",0.33,0.67
"157",0.28,0.72
"158",0.34,0.66
"159",0.3,0.7
"160",0.34,0.66
"161",0.32,0.68
"162",0.31,0.69
"163",0.32,0.68
"164",0.32,0.68
"165",0.39,0.61
"166",0.33,0.67
"167",0.33,0.67
"168",0.32,0.68
"169",0.29,0.71
"170",0.31,0.69
"171",0.29,0.71
"172",0.32,0.68
"173",0.33,0.67
"174",0.31,0.69
"175",0.26,0.74
"176",0.33,0.67
"177",0.34,0.66
"178",0.3,0.7
"179",0.34,0.66
"180",0.29,0.71
"181",0.31,0.69
"182",0.33,0.67
"183",0.3,0.7
"184",0.32,0.68
"185",0.26,0.74
"186",0.26,0.74
"187",0.33,0.67
"188",0.34,0.66
"189",0.33,0.67
"190",0.26,0.74
"191",0.33,0.67
"192",0.39,0.61
"193",0.32,0.68
"194",0.32,0.68
"195",0.34,0.66
"196",0.31,0.69
"197",0.3,0.7
"198",0.34,0.66
"199",0.31,0.69
"200",0.34,0.66
"201",0.32,0.68
"202",0.33,0.67
"203",0.32,0.68
"204",0.33,0.67
"205",0.31,0.69
"206",0.3,0.7
"207",0.33,0.67
"208",0.26,0.74
"209",0.32,0.68
"210",0.3,0.7
"211",0.28,0.72
"212",0.34,0.66
"213",0.3,0.7
"214",0.3,0.7
"215",0.28,0.72
"216",0.34,0.66
"217",0.31,0.69
"218",0.39,0.61
"219",0.3,0.7
"220",0.33,0.67
"221",0.34,0.66
"222",0.31,0.69
"223",0.34,0.66
"224",0.39,0.61
"225",0.33,0.67
"226",0.31,0.69
"227",0.31,0.69
"228",0.34,0.66
"229",0.32,0.68
"230",0.34,0.66
"231",0.34,0.66
"232",0.34,0.66
"233",0.34,0.66
"234",0.29,0.71
