,x,,
79,Accommodation,Accommodation,Accommodation
78,      Accommodation and food services,Accommodation and food services,Accommodation and food services
65,      Administrative and support and waste management and remediation services,Administrative and support and waste management and remediation services,Administrative and support and waste management and remediation services
66,Administrative and support services,Administrative and support services,Administrative and support services
3,"    Agriculture, forestry, fishing, and hunting","Agriculture, forestry, fishing, and hunting","Agriculture, forestry, fishing, and hunting"
37,      Air transportation,Air transportation,Air transportation
1,All industry total,All industry total,All industry total
71,        Ambulatory health care services,Ambulatory health care services,Ambulatory health care services
77,"        Amusement, gambling, and recreation industries","Amusement, gambling, and recreation industries","Amusement, gambling, and recreation industries"
28,"        Apparel, leather, and allied product manufacturing","Apparel, leather, and allied product manufacturing","Apparel, leather, and allied product manufacturing"
75,"      Arts, entertainment, and recreation","Arts, entertainment, and recreation","Arts, entertainment, and recreation"
74,"    Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, recreation, accommodation, and food services"
48,      Broadcasting (except Internet) and telecommunications,Broadcasting (except Internet) and telecommunications,Broadcasting (except Internet) and telecommunications
32,        Chemical manufacturing,Chemical manufacturing,Chemical manufacturing
19,        Computer and electronic product manufacturing,Computer and electronic product manufacturing,Computer and electronic product manufacturing
62,        Computer systems design and related services,Computer systems design and related services,Computer systems design and related services
11,    Construction,Construction,Construction
49,"      Data processing, hosting, and other information services","Data processing, hosting, and other information services","Data processing, hosting, and other information services"
13,      Durable goods manufacturing,Durable goods manufacturing,Durable goods manufacturing
69,      Educational services,Educational services,Educational services
68,"    Educational services, health care, and social assistance","Educational services, health care, and social assistance","Educational services, health care, and social assistance"
20,"        Electrical equipment, appliance, and component manufacturing","Electrical equipment, appliance, and component manufacturing","Electrical equipment, appliance, and component manufacturing"
17,        Fabricated metal product manufacturing,Fabricated metal product manufacturing,Fabricated metal product manufacturing
4,      Farms,Farms,Farms
83,    Federal civilian,Federal civilian,Federal civilian
51,      Finance and insurance,Finance and insurance,Finance and insurance
50,"    Finance, insurance, real estate, rental, and leasing","Finance, insurance, real estate, rental, and leasing","Finance, insurance, real estate, rental, and leasing"
26,        Food and beverage and tobacco products manufacturing,Food and beverage and tobacco products manufacturing,Food and beverage and tobacco products manufacturing
80,        Food services and drinking places,Food services and drinking places,Food services and drinking places
5,"      Forestry, fishing, and related activities","Forestry, fishing, and related activities","Forestry, fishing, and related activities"
55,"        Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles"
23,        Furniture and related product manufacturing,Furniture and related product manufacturing,Furniture and related product manufacturing
82,  Government and government enterprises,Government and government enterprises,Government and government enterprises
70,      Health care and social assistance,Health care and social assistance,Health care and social assistance
72,"        Hospitals, nursing, and residential care facilities","Hospitals, nursing, and residential care facilities","Hospitals, nursing, and residential care facilities"
45,    Information,Information,Information
54,        Insurance carriers and related activities,Insurance carriers and related activities,Insurance carriers and related activities
61,        Legal services,Legal services,Legal services
18,        Machinery manufacturing,Machinery manufacturing,Machinery manufacturing
64,      Management of companies and enterprises,Management of companies and enterprises,Management of companies and enterprises
12,    Manufacturing,Manufacturing,Manufacturing
84,    Military,Military,Military
8,      Mining (except oil and gas),Mining (except oil and gas),Mining (except oil and gas)
6,"    Mining, quarrying, and oil and gas extraction","Mining, quarrying, and oil and gas extraction","Mining, quarrying, and oil and gas extraction"
24,        Miscellaneous manufacturing,Miscellaneous manufacturing,Miscellaneous manufacturing
63,"        Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
52,"        Monetary Authorities- central bank, credit intermediation, and related services","Monetary Authorities- central bank, credit intermediation, and related services","Monetary Authorities- central bank, credit intermediation, and related services"
47,      Motion picture and sound recording industries,Motion picture and sound recording industries,Motion picture and sound recording industries
21,"        Motor vehicles, bodies and trailers, and parts manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing"
86,Natural resources and mining,Natural resources and mining,Natural resources and mining
25,      Nondurable goods manufacturing,Nondurable goods manufacturing,Nondurable goods manufacturing
15,        Nonmetallic mineral product manufacturing,Nonmetallic mineral product manufacturing,Nonmetallic mineral product manufacturing
7,      Oil and gas extraction,Oil and gas extraction,Oil and gas extraction
81,    Other services (except government and government enterprises),Other services (except government and government enterprises),Other services (except government and government enterprises)
43,      Other transportation and support activities,Other transportation and support activities,Other transportation and support activities
22,        Other transportation equipment manufacturing,Other transportation equipment manufacturing,Other transportation equipment manufacturing
29,        Paper manufacturing,Paper manufacturing,Paper manufacturing
76,"        Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
31,        Petroleum and coal products manufacturing,Petroleum and coal products manufacturing,Petroleum and coal products manufacturing
42,      Pipeline transportation,Pipeline transportation,Pipeline transportation
33,        Plastics and rubber products manufacturing,Plastics and rubber products manufacturing,Plastics and rubber products manufacturing
16,        Primary metal manufacturing,Primary metal manufacturing,Primary metal manufacturing
30,        Printing and related support activities,Printing and related support activities,Printing and related support activities
89,Private goods-producing industries,Private goods-producing industries,Private goods-producing industries
2,  Private industries,Private industries,Private industries
90,Private services-providing industries,Private services-providing industries,Private services-providing industries
59,    Professional and business services,Professional and business services,Professional and business services
60,"      Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services"
46,      Publishing industries (except Internet),Publishing industries (except Internet),Publishing industries (except Internet)
38,      Rail transportation,Rail transportation,Rail transportation
57,        Real estate,Real estate,Real estate
56,      Real estate and rental and leasing,Real estate and rental and leasing,Real estate and rental and leasing
58,        Rental and leasing services and lessors of nonfinancial intangible assets,Rental and leasing services and lessors of nonfinancial intangible assets,Rental and leasing services and lessors of nonfinancial intangible assets
35,    Retail trade,Retail trade,Retail trade
53,"        Securities, commodity contracts, and other financial investments and related activities","Securities, commodity contracts, and other financial investments and related activities","Securities, commodity contracts, and other financial investments and related activities"
73,        Social assistance,Social assistance,Social assistance
85,    State and local,State and local,State and local
9,      Support activities for mining,Support activities for mining,Support activities for mining
27,        Textile mills and textile product mills,Textile mills and textile product mills,Textile mills and textile product mills
87,Trade,Trade,Trade
41,      Transit and ground passenger transportation,Transit and ground passenger transportation,Transit and ground passenger transportation
88,Transportation and utilities,Transportation and utilities,Transportation and utilities
36,    Transportation and warehousing,Transportation and warehousing,Transportation and warehousing
40,      Truck transportation,Truck transportation,Truck transportation
10,    Utilities,Utilities,Utilities
44,      Warehousing and storage,Warehousing and storage,Warehousing and storage
67,        Waste management and remediation services,Waste management and remediation services,Waste management and remediation services
39,      Water transportation,Water transportation,Water transportation
34,    Wholesale trade,Wholesale trade,Wholesale trade
14,        Wood product manufacturing,Wood product manufacturing,Wood product manufacturing
